Instruction,Opcode,Valid 64-bit,Valid 32-bit,Valid 16-bit,Feature Flags,Operand 1,Operand 2,Operand 3,Operand 4,Tuple Type,Description
"JC rel16","0F 82 cw","Invalid","Valid","Valid","","","","","","","Jump near if carry (CF=1). Not supported in 64-bit mode."
"JC rel32","0F 82 cd","Valid","Valid","Valid","","","","","","","Jump near if carry (CF=1)."
"JE rel16","0F 84 cw","Invalid","Valid","Valid","","","","","","","Jump near if equal (ZF=1). Not supported in 64-bit mode."
"JE rel32","0F 84 cd","Valid","Valid","Valid","","","","","","","Jump near if equal (ZF=1)."
"JZ rel16","0F 84 cw","Invalid","Valid","Valid","","","","","","","Jump near if 0 (ZF=1). Not supported in 64-bit mode."
"JZ rel32","0F 84 cd","Valid","Valid","Valid","","","","","","","Jump near if 0 (ZF=1)."
"JG rel16","0F 8F cw","Invalid","Valid","Valid","","","","","","","Jump near if greater (ZF=0 and SF=OF). Not supported in 64-bit mode."
"JG rel32","0F 8F cd","Valid","Valid","Valid","","","","","","","Jump near if greater (ZF=0 and SF=OF)."
"JGE rel16","0F 8D cw","Invalid","Valid","Valid","","","","","","","Jump near if greater or equal (SF=OF). Not supported in 64-bit mode."
"JGE rel32","0F 8D cd","Valid","Valid","Valid","","","","","","","Jump near if greater or equal (SF=OF)."
"JL rel16","0F 8C cw","Invalid","Valid","Valid","","","","","","","Jump near if less (SFâ‰  OF). Not supported in 64-bit mode."
"JL rel32","0F 8C cd","Valid","Valid","Valid","","","","","","","Jump near if less (SFâ‰  OF)."
"JLE rel16","0F 8E cw","Invalid","Valid","Valid","","","","","","","Jump near if less or equal (ZF=1 or SFâ‰  OF). Not supported in 64-bit mode."
"JLE rel32","0F 8E cd","Valid","Valid","Valid","","","","","","","Jump near if less or equal (ZF=1 or SFâ‰  OF)."
"JNA rel16","0F 86 cw","Invalid","Valid","Valid","","","","","","","Jump near if not above (CF=1 or ZF=1). Not supported in 64-bit mode."
"JNA rel32","0F 86 cd","Valid","Valid","Valid","","","","","","","Jump near if not above (CF=1 or ZF=1)."
"JNAE rel16","0F 82 cw","Invalid","Valid","Valid","","","","","","","Jump near if not above or equal (CF=1). Not supported in 64-bit mode."
"JNAE rel32","0F 82 cd","Valid","Valid","Valid","","","","","","","Jump near if not above or equal (CF=1)."
"JNB rel16","0F 83 cw","Invalid","Valid","Valid","","","","","","","Jump near if not below (CF=0). Not supported in 64-bit mode."
"JNB rel32","0F 83 cd","Valid","Valid","Valid","","","","","","","Jump near if not below (CF=0)."
"JNBE rel16","0F 87 cw","Invalid","Valid","Valid","","","","","","","Jump near if not below or equal (CF=0 and ZF=0). Not supported in 64-bit mode."
"JNBE rel32","0F 87 cd","Valid","Valid","Valid","","","","","","","Jump near if not below or equal (CF=0 and ZF=0)."
"JNC rel16","0F 83 cw","Invalid","Valid","Valid","","","","","","","Jump near if not carry (CF=0). Not supported in 64-bit mode."
"JNC rel32","0F 83 cd","Valid","Valid","Valid","","","","","","","Jump near if not carry (CF=0)."
"JNE rel16","0F 85 cw","Invalid","Valid","Valid","","","","","","","Jump near if not equal (ZF=0). Not supported in 64-bit mode."
"JNE rel32","0F 85 cd","Valid","Valid","Valid","","","","","","","Jump near if not equal (ZF=0)."
"JNG rel16","0F 8E cw","Invalid","Valid","Valid","","","","","","","Jump near if not greater (ZF=1 or SFâ‰  OF). Not supported in 64-bit mode."
"JNG rel32","0F 8E cd","Valid","Valid","Valid","","","","","","","Jump near if not greater (ZF=1 or SFâ‰  OF)."
"JNGE rel16","0F 8C cw","Invalid","Valid","Valid","","","","","","","Jump near if not greater or equal (SFâ‰  OF). Not supported in 64-bit mode."
"JNGE rel32","0F 8C cd","Valid","Valid","Valid","","","","","","","Jump near if not greater or equal (SFâ‰  OF)."
"JNL rel16","0F 8D cw","Invalid","Valid","Valid","","","","","","","Jump near if not less (SF=OF). Not supported in 64-bit mode."
"JNL rel32","0F 8D cd","Valid","Valid","Valid","","","","","","","Jump near if not less (SF=OF)."
"JNLE rel16","0F 8F cw","Invalid","Valid","Valid","","","","","","","Jump near if not less or equal (ZF=0 and SF=OF). Not supported in 64-bit mode."
"JNLE rel32","0F 8F cd","Valid","Valid","Valid","","","","","","","Jump near if not less or equal (ZF=0 and SF=OF)."
"JNO rel16","0F 81 cw","Invalid","Valid","Valid","","","","","","","Jump near if not overflow (OF=0). Not supported in 64-bit mode."
"JNO rel32","0F 81 cd","Valid","Valid","Valid","","","","","","","Jump near if not overflow (OF=0)."
"JNP rel16","0F 8B cw","Invalid","Valid","Valid","","","","","","","Jump near if not parity (PF=0). Not supported in 64-bit mode."
"JNP rel32","0F 8B cd","Valid","Valid","Valid","","","","","","","Jump near if not parity (PF=0)."
"JNS rel16","0F 89 cw","Invalid","Valid","Valid","","","","","","","Jump near if not sign (SF=0). Not supported in 64-bit mode."
"JNS rel32","0F 89 cd","Valid","Valid","Valid","","","","","","","Jump near if not sign (SF=0)."
"JNZ rel16","0F 85 cw","Invalid","Valid","Valid","","","","","","","Jump near if not zero (ZF=0). Not supported in 64-bit mode."
"JNZ rel32","0F 85 cd","Valid","Valid","Valid","","","","","","","Jump near if not zero (ZF=0)."
"JO rel16","0F 80 cw","Invalid","Valid","Valid","","","","","","","Jump near if overflow (OF=1). Not supported in 64-bit mode."
"JO rel32","0F 80 cd","Valid","Valid","Valid","","","","","","","Jump near if overflow (OF=1)."
"JP rel16","0F 8A cw","Invalid","Valid","Valid","","","","","","","Jump near if parity (PF=1). Not supported in 64-bit mode."
"JP rel32","0F 8A cd","Valid","Valid","Valid","","","","","","","Jump near if parity (PF=1)."
"JPE rel16","0F 8A cw","Invalid","Valid","Valid","","","","","","","Jump near if parity even (PF=1). Not supported in 64-bit mode."
"JPE rel32","0F 8A cd","Valid","Valid","Valid","","","","","","","Jump near if parity even (PF=1)."
"JPO rel16","0F 8B cw","Invalid","Valid","Valid","","","","","","","Jump near if parity odd (PF=0). Not supported in 64-bit mode."
"JPO rel32","0F 8B cd","Valid","Valid","Valid","","","","","","","Jump near if parity odd (PF=0)."
"JS rel16","0F 88 cw","Invalid","Valid","Valid","","","","","","","Jump near if sign (SF=1). Not supported in 64- bit mode."
"JMP rel8","EB cb","Valid","Valid","Valid","","","","","","","Jump short, RIP = RIP + 8-bit displacement sign extended to 64-bits"
"JMP rel16","E9 cw","Invalid","Valid","Valid","","","","","","","Jump near, relative, displacement relative to next instruction. Not supported in 64-bit mode."
"JMP rel32","E9 cd","Valid","Valid","Invalid","","","","","","","Jump near, relative, RIP = RIP + 32-bit displacement sign extended to 64-bits"
"JMP r/m16","FF /4","Invalid","Valid","Valid","","","","","","","Jump near, absolute indirect, address = zero- extended r/m16. Not supported in 64-bit mode."
"JMP r/m32","FF /4","Invalid","Valid","Invalid","","","","","","","Jump near, absolute indirect, address given in r/m32. Not supported in 64-bit mode."
"JMP r/m64","FF /4","Valid","Invalid","Invalid","","","","","","","Jump near, absolute indirect, RIP = 64-Bit offset from register or memory"
"JMP ptr16:16","EA cd","Invalid","Valid","Valid","","","","","","","Jump far, absolute, address given in operand"
"JMP ptr16:32","EA cp","Invalid","Valid","Invalid","","","","","","","Jump far, absolute, address given in operand"
"JMP m16:16","FF /5","Valid","Valid","Valid","","","","","","","Jump far, absolute indirect, address given in m16:16"
"JMP m16:32","FF /5","Valid","Valid","Invalid","","","","","","","Jump far, absolute indirect, address given in m16:32."
"JMP m16:64","REX.W + FF /5","Valid","Invalid","Invalid","","","","","","","Jump far, absolute indirect, address given in m16:64."
"KADDW k1, k2, k3","VEX.L1.0F.W0 4A /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Add 16 bits masks in k2 and k3 and place result in k1."
"KADDB k1, k2, k3","VEX.L1.66.0F.W0 4A /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Add 8 bits masks in k2 and k3 and place result in k1."
"KADDQ k1, k2, k3","VEX.L1.0F.W1 4A /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Add 64 bits masks in k2 and k3 and place result in k1."
"KADDD k1, k2, k3","VEX.L1.66.0F.W1 4A /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Add 32 bits masks in k2 and k3 and place result in k1."
"KANDNW k1, k2, k3","VEX.NDS.L1.0F.W0 42 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise AND NOT 16 bits masks k2 and k3 and place result in k1."
"KANDNB k1, k2, k3","VEX.L1.66.0F.W0 42 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise AND NOT 8 bits masks k1 and k2 and place result in k1."
"KANDNQ k1, k2, k3","VEX.L1.0F.W1 42 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise AND NOT 64 bits masks k2 and k3 and place result in k1."
"KANDND k1, k2, k3","VEX.L1.66.0F.W1 42 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise AND NOT 32 bits masks k2 and k3 and place result in k1."
"KANDW k1, k2, k3","VEX.NDS.L1.0F.W0 41 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise AND 16 bits masks k2 and k3 and place result in k1."
"KANDB k1, k2, k3","VEX.L1.66.0F.W0 41 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise AND 8 bits masks k2 and k3 and place result in k1."
"KANDQ k1, k2, k3","VEX.L1.0F.W1 41 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise AND 64 bits masks k2 and k3 and place result in k1."
"KANDD k1, k2, k3","VEX.L1.66.0F.W1 41 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise AND 32 bits masks k2 and k3 and place result in k1."
"KMOVW k1, k2/m16","VEX.L0.0F.W0 90 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r)","","","","Move 16 bits mask from k2/m16 and store the result in k1."
"KMOVB k1, k2/m8","VEX.L0.66.0F.W0 90 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","ModRM:r/m (r)","","","","Move 8 bits mask from k2/m8 and store the result in k1."
"KMOVQ k1, k2/m64","VEX.L0.0F.W1 90 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r)","","","","Move 64 bits mask from k2/m64 and store the result in k1."
"KMOVD k1, k2/m32","VEX.L0.66.0F.W1 90 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r)","","","","Move 32 bits mask from k2/m32 and store the result in k1."
"KMOVW m16, k1","VEX.L0.0F.W0 91 /r","Valid","Valid","Invalid","AVX512F","ModRM:r/m (w, ModRM:[7:6] must not be 11b)","ModRM:reg (r)","","","","Move 16 bits mask from k1 and store the result in m16."
"KMOVB m8, k1","VEX.L0.66.0F.W0 91 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:r/m (w, ModRM:[7:6] must not be 11b)","ModRM:reg (r)","","","","Move 8 bits mask from k1 and store the result in m8."
"KMOVQ m64, k1","VEX.L0.0F.W1 91 /r","Valid","Valid","Invalid","AVX512BW","ModRM:r/m (w, ModRM:[7:6] must not be 11b)","ModRM:reg (r)","","","","Move 64 bits mask from k1 and store the result in m64."
"KMOVD m32, k1","VEX.L0.66.0F.W1 91 /r","Valid","Valid","Invalid","AVX512BW","ModRM:r/m (w, ModRM:[7:6] must not be 11b)","ModRM:reg (r)","","","","Move 32 bits mask from k1 and store the result in m32."
"KMOVW k1, r32","VEX.L0.0F.W0 92 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Move 16 bits mask from r32 to k1."
"KMOVB k1, r32","VEX.L0.66.0F.W0 92 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Move 8 bits mask from r32 to k1."
"KMOVQ k1, r64","VEX.L0.F2.0F.W1 92 /r","Valid","Invalid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Move 64 bits mask from r64 to k1."
"KMOVD k1, r32","VEX.L0.F2.0F.W0 92 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Move 32 bits mask from r32 to k1."
"KMOVW r32, k1","VEX.L0.0F.W0 93 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Move 16 bits mask from k1 to r32."
"KMOVB r32, k1","VEX.L0.66.0F.W0 93 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Move 8 bits mask from k1 to r32."
"KMOVQ r64, k1","VEX.L0.F2.0F.W1 93 /r","Valid","Invalid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Move 64 bits mask from k1 to r64."
"KMOVD r32, k1","VEX.L0.F2.0F.W0 93 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Move 32 bits mask from k1 to r32."
"KNOTW k1, k2","VEX.L0.0F.W0 44 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Bitwise NOT of 16 bits mask k2."
"KNOTB k1, k2","VEX.L0.66.0F.W0 44 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Bitwise NOT of 8 bits mask k2."
"KNOTQ k1, k2","VEX.L0.0F.W1 44 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Bitwise NOT of 64 bits mask k2."
"KNOTD k1, k2","VEX.L0.66.0F.W1 44 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Bitwise NOT of 32 bits mask k2."
"KORTESTW k1, k2","VEX.L0.0F.W0 98 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Bitwise OR 16 bits masks k1 and k2 and update ZF and CF accordingly."
"KORTESTB k1, k2","VEX.L0.66.0F.W0 98 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Bitwise OR 8 bits masks k1 and k2 and update ZF and CF accordingly."
"KORTESTQ k1, k2","VEX.L0.0F.W1 98 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Bitwise OR 64 bits masks k1 and k2 and update ZF and CF accordingly."
"KORTESTD k1, k2","VEX.L0.66.0F.W1 98 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","","Bitwise OR 32 bits masks k1 and k2 and update ZF and CF accordingly."
"KORW k1, k2, k3","VEX.NDS.L1.0F.W0 45 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise OR 16 bits masks k2 and k3 and place result in k1."
"KORB k1, k2, k3","VEX.L1.66.0F.W0 45 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise OR 8 bits masks k2 and k3 and place result in k1."
"KORQ k1, k2, k3","VEX.L1.0F.W1 45 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise OR 64 bits masks k2 and k3 and place result in k1."
"KORD k1, k2, k3","VEX.L1.66.0F.W1 45 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","VEX.vvvv (r)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","","","Bitwise OR 32 bits masks k2 and k3 and place result in k1."
"KSHIFTLW k1, k2, imm8","VEX.L0.66.0F3A.W1 32 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","Imm8","","","Shift left 16 bits in k2 by immediate and write result in k1."
"KSHIFTLB k1, k2, imm8","VEX.L0.66.0F3A.W0 32 /r","Valid","Valid","Invalid","AVX512DQ","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","Imm8","","","Shift left 8 bits in k2 by immediate and write result in k1."
"KSHIFTLQ k1, k2, imm8","VEX.L0.66.0F3A.W1 33 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","Imm8","","","Shift left 64 bits in k2 by immediate and write result in k1."
"KSHIFTLD k1, k2, imm8","VEX.L0.66.0F3A.W0 33 /r","Valid","Valid","Invalid","AVX512BW","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","Imm8","","","Shift left 32 bits in k2 by immediate and write result in k1."
"KSHIFTRW k1, k2, imm8","VEX.L0.66.0F3A.W1 30 /r","Valid","Valid","Invalid","AVX512F","ModRM:reg (w)","ModRM:r/m (r, ModRM:[7:6] must be 11b)","Imm8","","","Shift right 16 bits in k2 by immediate and write result in k1."
